ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: woodmart_sguide_select","Meta: woodmart_price_unit_of_measure","Meta: woodmart_total_stock_quantity","Meta: _product_360_image_gallery","Meta: _woodmart_whb_header","Meta: _woodmart_main_layout","Meta: _woodmart_sidebar_width","Meta: _woodmart_custom_sidebar","Meta: _woodmart_new_label","Meta: _woodmart_new_label_date","Meta: _woodmart_swatches_attribute","Meta: _woodmart_related_off","Meta: _woodmart_exclude_show_single_variation","Meta: _woodmart_product_video","Meta: _woodmart_product_hashtag","Meta: _woodmart_single_product_style","Meta: _woodmart_thums_position","Meta: _woodmart_extra_content","Meta: _woodmart_extra_position","Meta: _woodmart_product_design","Meta: _woodmart_product-background","Meta: _woodmart_hide_tabs_titles","Meta: _woodmart_product_custom_tab_title","Meta: _woodmart_product_custom_tab_content_type","Meta: _woodmart_product_custom_tab_content","Meta: _woodmart_product_custom_tab_html_block","Meta: _woodmart_product_custom_tab_title_2","Meta: _woodmart_product_custom_tab_content_type_2","Meta: _woodmart_product_custom_tab_content_2","Meta: _woodmart_product_custom_tab_html_block_2","Meta: _wpb_vc_js_status","Meta: _wpb_post_custom_layout","Meta: rs_page_bg_color"
10401,simple,,,"Matcha Frappe",1,0,visible,"A blended matcha drink with milk, sugar, and sometimes topped with whipped cream.","A blended matcha drink with milk, sugar, and sometimes topped with whipped cream.",,,taxable,,1,,,0,0,,,,,1,,,15,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/d91eec5d6bb98e45262b1ac8e5491560.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Green,1,1,Size,L,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10402,simple,,,"Matcha Lemonade",1,0,visible,,"Matcha mixed with fresh lemon juice, creating a sweet and tangy flavor.",,,taxable,,1,,,0,0,,,,,1,,,14,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/a0924cfec145be652100986521ff4901.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Green,1,1,Size,"L, M",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,,,
10403,simple,,,"Matcha Bubble Tea",1,0,visible,"Matcha milk tea with tapioca pearls, combining the creaminess of milk with the freshness of green tea.","Matcha milk tea with tapioca pearls, combining the creaminess of milk with the freshness of green tea.",,,taxable,,1,,,0,0,,,,,1,,,,Matcha,Nature,,http://167.99.68.7/wp-content/uploads/2025/03/f3353da22218a4de90629ea801d6d0ff.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,"Beige, Black, Blue, Brown, Gray, Green, Orange, Red, Yellow",1,1,,,,,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10404,simple,,,"Strawberry Ice Cream",1,0,visible,"A creamy and refreshing dessert made from fresh strawberries, milk, cream, and sugar. It has a sweet, fruity flavor with a smooth and velvety texture, often enjoyed on its own or as a topping for cakes and waffles.","A creamy and refreshing dessert made from fresh strawberries, milk, cream, and sugar. It has a sweet, fruity flavor with a smooth and velvety texture, often enjoyed on its own or as a topping for cakes and waffles.",,,taxable,,1,,,0,0,,,,,1,,3,5,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/29f1586577f6874d8aade5a4a4736bcc.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Red,1,1,Size,L,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10405,simple,,,"Neapolitan Ice Cream",1,0,visible,"A classic three-layered ice cream featuring vanilla, chocolate, and strawberry flavors. Each layer is distinct yet complements the others, offering a balanced combination of creamy, rich, and fruity tastes in every bite.","A classic three-layered ice cream featuring vanilla, chocolate, and strawberry flavors. Each layer is distinct yet complements the others, offering a balanced combination of creamy, rich, and fruity tastes in every bite.",,,taxable,,1,,,0,0,,,,,1,,,8,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/615a85770ca73d04f4047e196dc94e05.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,"Green, Red, Yellow",1,1,Size,L,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10406,simple,,,"Vanilla Ice Cream",1,0,visible,"A classic and creamy dessert made with milk, cream, sugar, and vanilla extract. It has a smooth texture and a rich, sweet flavor, often enjoyed on its own or as a topping for various desserts.","A classic and creamy dessert made with milk, cream, sugar, and vanilla extract. It has a smooth texture and a rich, sweet flavor, often enjoyed on its own or as a topping for various desserts.",,,taxable,,1,,,0,0,,,,,1,,,3,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/82d7c9ce23857987ee80c9528cbfa313.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,Beige,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10407,simple,,,Sundae,1,0,visible,"A delicious ice cream dessert served in a cup, typically topped with syrup, whipped cream, nuts, and a cherry. It comes in various flavors and combinations, making it a popular treat for all ages.","A delicious ice cream dessert served in a cup, typically topped with syrup, whipped cream, nuts, and a cherry. It comes in various flavors and combinations, making it a popular treat for all ages.",,,taxable,,1,,,0,0,,,,,1,,,9,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/37ce72332d8531afac41cd51a2689144.jpg,,,,,,,,,0,,Brand,Starbucks,1,1,Color,"Beige, Blue, Green",1,1,Size,L,1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10408,simple,,,"Ice Cream Cone",1,0,visible,"A crispy waffle or sugar cone filled with creamy ice cream, offering a perfect balance of crunchiness and smoothness. It is a popular handheld treat enjoyed in various flavors and toppings.","A crispy waffle or sugar cone filled with creamy ice cream, offering a perfect balance of crunchiness and smoothness. It is a popular handheld treat enjoyed in various flavors and toppings.",,,taxable,,1,,,0,0,,,,,1,,,5,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/cc06956420f9ce03683e622e7df07a19.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,Beige,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10409,simple,,,"Strawberry Sundae",1,0,visible,"A delightful ice cream dessert served in a cup, featuring creamy vanilla or strawberry ice cream topped with sweet strawberry sauce, whipped cream, and sometimes fresh strawberry slices.","A delightful ice cream dessert served in a cup, featuring creamy vanilla or strawberry ice cream topped with sweet strawberry sauce, whipped cream, and sometimes fresh strawberry slices.",,,taxable,,1,,,0,0,,,,,1,,5,6,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/c98d50635e5d4e2ab73a9423eb35da3c.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Beige,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10410,simple,,,"Mixed Ice Cream",1,0,visible,"A combination of multiple ice cream flavors in one serving, often paired with various toppings such as fruits, nuts, syrups, or chocolate chips. This dessert offers a diverse and exciting taste experience.","A combination of multiple ice cream flavors in one serving, often paired with various toppings such as fruits, nuts, syrups, or chocolate chips. This dessert offers a diverse and exciting taste experience.",,,taxable,,1,,,0,0,,,,,1,,,9,"Ice Cream",Summer,,http://167.99.68.7/wp-content/uploads/2025/03/fce5b9f130ea8ede1f51e05937b67cf8.jpg,,,,,,,,,0,,Brand,Highlands,1,1,Color,"Beige, Black, Blue, Brown, Gray, Green, Orange, Red, Yellow",1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10411,simple,,,"Green Tea",1,0,visible,"Made from unoxidized tea leaves, it has a fresh, grassy flavor and is rich in antioxidants.","Made from unoxidized tea leaves, it has a fresh, grassy flavor and is rich in antioxidants.",,,taxable,,1,,,0,0,,,,,1,,,5,Tea,"The sea",,http://167.99.68.7/wp-content/uploads/2025/03/731c120fa2fd930c741eaf399ffee879.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,Yellow,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10414,simple,,,"Black Tea",1,0,visible,"Fully oxidized tea leaves give it a strong, bold taste with a higher caffeine content.","Fully oxidized tea leaves give it a strong, bold taste with a higher caffeine content.",,,taxable,,1,,,0,0,,,,,1,,,3,Tea,"The sea",,http://167.99.68.7/wp-content/uploads/2025/03/0eeddf9e408d26debe233e7a80b020e9.jpg,,,,,,,,,0,,Brand,"Highlands, Starbucks, The Coffee House",1,1,Color,Yellow,1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10415,simple,,,"Oolong Tea",1,0,visible,"A semi-oxidized tea that falls between green and black tea, offering a floral and fruity flavor.","A semi-oxidized tea that falls between green and black tea, offering a floral and fruity flavor.",,,taxable,,1,,,0,0,,,,,1,,,6,Tea,"The sea",,http://167.99.68.7/wp-content/uploads/2025/03/d9f22ca2536e9df00612b2c22c3f5cfb.jpg,,,,,,,,,0,,Brand,"Highlands, Starbucks, The Coffee House",1,1,Color,"Green, Yellow",1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10416,simple,,,"White Tea",1,0,visible,"Made from young tea leaves and buds, it has a delicate, light taste with subtle sweetness.","Made from young tea leaves and buds, it has a delicate, light taste with subtle sweetness.",,,taxable,,1,,,0,0,,,,,1,,,5,Tea,"The sea",,http://167.99.68.7/wp-content/uploads/2025/03/6029b5573c98fad880d63e0a04bd0a46.jpg,,,,,,,,,0,,Brand,"The Coffee House",1,1,Color,"Green, Yellow",1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
10417,simple,,,"Herbal Tea",1,0,visible,"Caffeine-free tea made from dried herbs, fruits, flowers, or spices, offering a variety of flavors and health benefits.","Caffeine-free tea made from dried herbs, fruits, flowers, or spices, offering a variety of flavors and health benefits.",,,taxable,,1,,,0,0,,,,,1,,,8,Tea,"The sea",,http://167.99.68.7/wp-content/uploads/2025/03/05583e5776ae617498cb8bee9db5a4c1.jpg,,,,,,,,,0,,Brand,"Highlands, Starbucks, The Coffee House",1,1,Color,"Green, Yellow",1,1,Size,"L, M, S",1,1,none,,,,none,default,default,none,,,,,,,,inherit,inherit,,after,inherit,,,,text,,,,text,,,false,default,
